source,count,mean,std,min,25%,50%,75%,max
africa,35.0,17.685714285714287,3.5294677866702306,13.0,15.5,17.0,19.0,28.0
asia,71.0,18.549295774647888,2.70337742407195,13.0,17.0,18.0,20.0,30.0
england,85.0,18.894117647058824,3.7129872757395654,13.0,17.0,18.0,20.0,34.0
europe,54.0,17.833333333333332,3.1904929529806,11.0,16.0,18.0,19.0,27.0
latin_america,25.0,18.44,3.0149626863362675,14.0,17.0,18.0,20.0,26.0
middle_east,33.0,18.424242424242426,3.345055147436876,14.0,16.0,18.0,21.0,28.0
northern_ireland,87.0,17.436781609195403,2.9754856919356305,7.0,16.0,18.0,19.0,23.0
scotland,82.0,20.28048780487805,4.00084679383636,14.0,17.25,20.0,22.0,31.0
us_and_canada,84.0,18.476190476190474,2.4859905808552405,15.0,17.0,18.0,20.0,27.0
wales,115.0,18.695652173913043,3.6326345208631,8.0,17.0,18.0,21.0,29.0
