source,count,mean,std,min,25%,50%,75%,max
england,32.0,18.40625,3.4253266856207754,10.0,16.75,18.0,19.25,30.0
northern_ireland,39.0,17.205128205128204,2.9574125175430592,7.0,15.5,18.0,19.0,22.0
scotland,36.0,19.083333333333332,3.458942860800929,11.0,16.75,19.0,22.0,26.0
wales,40.0,18.525,3.2104596683421027,14.0,16.0,18.0,21.0,27.0
world_africa,19.0,16.842105263157894,3.2363071872933067,13.0,15.0,16.0,17.5,28.0
world_asia,17.0,17.529411764705884,2.7865221840769436,11.0,16.0,18.0,19.0,22.0
world_europe,24.0,18.25,2.345207879911715,15.0,17.0,18.0,19.0,25.0
world_latin_america,17.0,18.941176470588236,3.976031127822287,16.0,17.0,18.0,20.0,33.0
world_middle_east,22.0,17.727272727272727,3.194963569086854,14.0,15.25,17.0,19.0,28.0
world_us_and_canada,66.0,18.545454545454547,2.2476094526737183,15.0,17.0,18.5,20.0,24.0
