source,count,mean,std,min,25%,50%,75%,max
africa,37.0,10.35135135135135,1.9890843261301057,6.0,9.0,10.0,12.0,14.0
asia,78.0,10.26923076923077,2.1602854364257444,6.0,9.0,10.0,12.0,15.0
england,104.0,10.836538461538462,1.9761224015933738,7.0,9.0,11.0,12.0,16.0
europe,62.0,9.838709677419354,2.034082935806915,5.0,8.0,9.5,11.0,14.0
latin_america,26.0,9.73076923076923,2.409276942282764,6.0,8.0,9.0,11.0,15.0
middle_east,34.0,9.294117647058824,2.082094105588801,6.0,7.25,9.5,11.0,13.0
northern_ireland,98.0,9.785714285714286,1.8680713909402618,5.0,9.0,10.0,11.0,14.0
scotland,100.0,10.71,2.2531459488161585,5.0,9.0,11.0,12.0,17.0
us_and_canada,96.0,10.947916666666666,2.277439890785342,5.0,10.0,11.0,12.0,18.0
wales,140.0,10.5,2.1938435769871494,6.0,9.0,10.0,12.0,15.0
